N,kappa,eps_F,trial,lambda,J,K,err
4,10,0.001,49,2.101364469586946,152,165,0.00017687301226798678
4,10,0.001,50,2.3071367898521893,166,182,0.00017522749368272946
4,10,0.001,51,1.9317565757332333,141,152,0.00017864693657880314
4,10,0.001,52,1.7167897372858478,127,134,0.0001813830784415179
4,10,0.001,53,1.7784028336135278,131,139,0.0001805342343689094
4,10,0.001,54,2.5618135097935615,183,203,0.00017384401857382367
4,10,0.001,55,1.5742379921614151,118,123,0.00018355314447214696
4,10,0.001,56,1.7155930762881482,127,134,0.00018140420499212836
4,10,0.001,57,2.4504648385327705,175,194,0.0001743674743615565
4,10,0.001,58,2.157539751041443,156,170,0.0001763805575476235
4,10,0.001,59,1.6068614015853813,120,125,0.00018300739406837773
4,10,0.001,60,2.113488067705889,153,166,0.0001767619795905322
4,10,0.001,61,1.7210466771404385,127,135,0.00018135065809503947
4,10,0.001,62,2.008105195492628,146,158,0.00017780528355394127
4,10,0.001,63,2.53378046578388,181,201,0.0001739665620316704
4,10,0.001,64,1.8374463830589463,135,144,0.00017977286497708044
4,10,0.001,65,1.995690557148735,145,157,0.00017793632284806343
4,10,0.001,66,1.6833356909369568,125,132,0.00018189609216302414
4,10,0.001,67,2.6829481173302594,191,213,0.00017341258400007666
4,10,0.001,68,1.9123989788709745,140,150,0.0001788583549832342
4,10,0.001,69,2.389680558981695,171,189,0.00017470629748279732
4,10,0.001,70,1.7168921516852058,127,134,0.0001813812718083846
4,10,0.001,71,1.7733930200946026,131,139,0.00018061711981448802
4,10,0.001,72,1.7321450054536367,128,135,0.0001811568359009349
4,10,0.001,73,1.7843265749496018,132,140,0.00018047468768872473
4,10,0.001,74,1.4491072783854357,110,113,0.00018562493762814286
4,10,0.001,75,1.9473884515292008,142,153,0.00017846204049862073
4,10,0.001,76,2.3006196480329817,165,182,0.00017527980429665182
4,10,0.001,77,1.6623116609173088,124,130,0.00018219237850321124
4,10,0.001,78,2.5012903312238426,179,198,0.00017411193573191837
4,10,0.001,79,2.000272111392036,146,157,0.0001778784324890562
4,10,0.001,80,1.8484903328914077,136,145,0.00017963739006240259
4,10,0.001,81,2.659066444621738,189,211,0.00017348676176427645
4,10,0.001,82,2.0588294370625007,149,162,0.00017728843155959213
4,10,0.001,83,2.1029415584731153,152,165,0.00017685574336277345
4,10,0.001,84,2.466402446346912,176,195,0.00017428176436085294
4,10,0.001,85,1.6433976460517723,122,128,0.00018245251460309483
4,10,0.001,86,1.822154904209469,134,143,0.00017997627597093294
4,10,0.001,87,1.45319453556277,110,113,0.0001855319750457586
4,10,0.001,88,2.2983141235636726,165,181,0.00017528398064641814
4,10,0.001,89,2.2323675802149436,161,176,0.0001757706463046049
4,10,0.001,90,1.7933335357868176,132,140,0.0001803278333473247
4,10,0.001,91,2.0074413693866515,146,158,0.00017781356688222985
4,10,0.001,92,1.74436714420394,129,136,0.0001809875866060687
4,10,0.001,93,2.2429542827322244,162,177,0.00017569219081296078
4,10,0.001,94,1.8719759098944908,137,147,0.0001793500056224351
4,10,0.001,95,1.951292639524278,142,153,0.00017840951748470483
4,10,0.001,96,1.927010428745655,141,151,0.00017868369928776234
4,10,0.001,97,1.48751488174481,112,116,0.00018496876616359005
