N,kappa,eps_F,n_trials,J,K,lambda_min,lambda_max,eps_max,eps_mean,ratio_max,ratio_mean
16,10,0.01,100,559,674,6.053587563156277,9.55472298537276,0.0021246891677528224,0.0021136917015767516,0.21246891677528223,0.21136917015767515
16,10,0.001,100,647,781,6.195090037887314,9.175981403468015,0.00019976386274864457,0.0001937859411499068,0.19976386274864458,0.1937859411499068
16,10,0.0001,100,821,994,5.435680003412256,9.90964976912002,1.7544300665490026e-05,1.7314670957139177e-05,0.17544300665490026,0.17314670957139175
16,100,0.01,100,6068,7546,5.502060422485097,8.972999498277773,0.0019964958354076663,0.0019295917684638655,0.19964958354076662,0.19295917684638655
16,100,0.001,100,7423,9234,4.887025413266761,9.326008672046138,0.00017894924833420286,0.00017347231189104002,0.17894924833420287,0.17347231189104
16,100,0.0001,100,8388,10435,5.169180965528033,9.186354273182253,2.005287700679632e-05,1.9007491097529497e-05,0.20052877006796319,0.19007491097529497
16,1000,0.01,100,72979,91053,5.144665062576358,9.211649656415366,0.0017779686364832047,0.0017346667013848128,0.17779686364832045,0.17346667013848127
16,1000,0.001,100,84522,105458,5.208292875483369,9.286731969741242,0.0002006080215672897,0.00019065243879290414,0.20060802156728968,0.19065243879290414
16,1000,0.0001,100,93124,116190,4.887166650912879,9.072456313307182,2.0481178381462602e-05,2.0122229726939252e-05,0.204811783814626,0.2012222972693925
