N,kappa,eps_F,trial,lambda,J,K,err
16,10,0.01,0,8.122804913046124,472,565,0.002109493238655669
16,10,0.01,1,7.002621756398126,405,482,0.00212369360239522
16,10,0.01,2,8.372458591147499,487,584,0.002104646662960106
16,10,0.01,3,7.97705938791541,463,554,0.0021120854902582863
16,10,0.01,4,8.39096771260606,488,585,0.002104254015528007
16,10,0.01,5,7.707809069833795,447,534,0.0021163636828269612
16,10,0.01,6,8.084792557691713,470,562,0.00211018246751479
16,10,0.01,7,7.692293700438562,446,533,0.0021165940710347613
16,10,0.01,8,7.372163853578444,427,509,0.0021206148544525593
16,10,0.01,9,9.55472298537276,559,674,0.002076367503937873
16,10,0.01,10,7.273493210791798,421,502,0.002121624145586858
16,10,0.01,11,8.507384185711663,495,594,0.0021018213913727565
16,10,0.01,12,8.614105829367638,502,602,0.0020995007221961365
16,10,0.01,13,6.1661183255689584,355,420,0.0021225931614653414
16,10,0.01,14,8.335991346091692,485,581,0.002105377191847924
16,10,0.01,15,7.852739938252867,456,545,0.0021141580919669086
16,10,0.01,16,6.541420034119926,377,448,0.0021246523630038313
16,10,0.01,17,8.50428034443371,495,594,0.0021018955715405734
16,10,0.01,18,7.701197651742255,447,534,0.002116479149190373
16,10,0.01,19,6.9007088511913075,399,474,0.0021241770026873565
16,10,0.01,20,6.710164557176316,387,460,0.0021246884841453918
16,10,0.01,21,8.29475919862317,482,578,0.0021062046912804313
16,10,0.01,22,7.219265759822181,418,498,0.0021221188933944974
16,10,0.01,23,6.053587563156277,349,412,0.002121431473410388
16,10,0.01,24,8.216434581261666,478,572,0.002107729503413611
16,10,0.01,25,7.5204041663385865,436,520,0.002118894706810743
16,10,0.01,26,6.34434943991152,366,433,0.002123902796954464
16,10,0.01,27,8.180364502128153,476,570,0.002108442651135363
16,10,0.01,28,8.093908337022356,470,563,0.0021100286360603636
16,10,0.01,29,7.328180853400571,424,506,0.002121085101434954
16,10,0.01,30,7.620161802414017,442,528,0.002117617698771315
16,10,0.01,31,8.366752456781505,487,584,0.0021047778999387277
16,10,0.01,32,7.535335067990886,437,521,0.002118702658130814
16,10,0.01,33,7.7328604867069615,449,536,0.0021160017203046837
16,10,0.01,34,6.95609958402035,402,478,0.0021239176575244853
16,10,0.01,35,6.239586958968786,360,425,0.0021231931951180057
16,10,0.01,36,7.143049478629045,413,492,0.0021227309289780683
16,10,0.01,37,7.980527086338697,463,555,0.0021120537815905722
16,10,0.01,38,7.335570954415761,425,506,0.002120986085472956
16,10,0.01,39,7.607344084007291,441,527,0.002117789200293341
16,10,0.01,40,6.798409736802163,393,467,0.0021245492172295927
16,10,0.01,41,8.167360199116537,475,569,0.0021086871710428424
16,10,0.01,42,7.05994666237968,408,486,0.0021233308357941085
16,10,0.01,43,8.629219170889751,503,603,0.002099161660361698
16,10,0.01,44,7.592549341860735,440,526,0.002117991163204181
16,10,0.01,45,8.846644162158508,516,620,0.002094212876134981
16,10,0.01,46,7.604400028560621,441,526,0.002117796985210262
16,10,0.01,47,7.853388901116777,456,545,0.0021141458394670245
16,10,0.01,48,8.741919548526464,510,612,0.0020966382666021723
16,10,0.01,49,7.631516306214242,442,528,0.002117428419526184
16,10,0.01,50,7.967120068770623,463,554,0.0021122836359596664
16,10,0.01,51,7.1612028593799,414,493,0.0021225732337932673
16,10,0.01,52,6.590783415439413,380,451,0.0021246891677528224
16,10,0.01,53,7.720849812867005,448,535,0.002116174446787473
16,10,0.01,54,7.34127161646712,425,507,0.0021209522552424176
16,10,0.01,55,7.787697934131931,452,540,0.002115171764909003
16,10,0.01,56,7.120023775147129,412,490,0.0021228916615874853
16,10,0.01,57,8.845312057257395,516,620,0.002094247308993021
16,10,0.01,58,8.113060519137765,471,565,0.0021096992375639534
16,10,0.01,59,7.157319571575645,414,493,0.0021226168889226234
16,10,0.01,60,7.884188780686008,458,547,0.0021136369886133426
16,10,0.01,61,8.130478828221129,473,566,0.0021093669717660015
16,10,0.01,62,8.019378319163016,466,558,0.00211138227188465
16,10,0.01,63,8.183976142815311,476,570,0.0021083644979470796
16,10,0.01,64,6.464767461347552,373,442,0.002124439856915171
16,10,0.01,65,7.974440970811216,463,554,0.002112137773594415
16,10,0.01,66,6.906607588455251,399,475,0.0021241785106017835
16,10,0.01,67,7.892722492191728,458,548,0.0021135115028505912
16,10,0.01,68,8.720580679484048,508,610,0.0020971126000520358
16,10,0.01,69,7.075876164595416,409,487,0.0021232165816658993
16,10,0.01,70,7.246490860726514,419,500,0.002121874974940182
16,10,0.01,71,8.460735041393475,492,591,0.0021028283637799
16,10,0.01,72,9.033805869485445,527,634,0.002089717293356274
16,10,0.01,73,8.160612858446187,474,568,0.002108796068442019
16,10,0.01,74,7.904364642517853,459,549,0.00211332516765672
16,10,0.01,75,8.268402971433968,481,576,0.0021067238694947106
16,10,0.01,76,7.529948963183374,436,521,0.0021187871322579945
16,10,0.01,77,6.992815840089309,404,481,0.0021237363284377885
16,10,0.01,78,8.03856520273147,467,559,0.002111027744381548
