N,kappa,eps_F,n_trials,J,K,lambda_min,lambda_max,eps_max,eps_mean,ratio_max,ratio_mean
4,10,0.01,100,158,175,1.4335829976137602,2.726690683637919,0.0018955687086683833,0.0017985431891127945,0.18955687086683834,0.17985431891127945
4,10,0.001,100,212,239,1.4491072783854357,2.9978264338350273,0.00018562493762814286,0.00017849918236908081,0.18562493762814286,0.1784991823690808
4,10,0.0001,100,239,270,1.5304256424178844,2.8487736351401995,2.0116023113754463e-05,1.9873657578620757e-05,0.2011602311375446,0.19873657578620757
4,100,0.01,100,1703,2100,1.4566767090730353,2.7370887634706778,0.001932574891080832,0.0018249369593076295,0.19325748910808319,0.18249369593076295
4,100,0.001,100,2068,2552,1.4553362233348222,2.7870910838029155,0.00020824438964614072,0.0002052923359007377,0.20824438964614073,0.2052923359007377
4,100,0.0001,100,2319,2862,1.4517958758281515,2.6982683991333554,2.0235872687179152e-05,1.9420942086945632e-05,0.20235872687179152,0.1942094208694563
4,1000,0.01,100,20997,26177,1.5375487351267139,2.8631883076025826,0.0020902783713391687,0.00206299803932436,0.20902783713391687,0.206299803932436
4,1000,0.001,100,26338,32840,1.462904295001826,3.0819294842042977,0.0002043935784631542,0.0001949396985321467,0.2043935784631542,0.19493969853214668
4,1000,0.0001,100,24983,31146,1.498155891288709,2.5927487147238253,1.7705234669948374e-05,1.7336176905711473e-05,0.17705234669948375,0.17336176905711473
