instance,N_S,rmse,lambda,t_max,c_rte,n_max,r_at_tmax,bias_bound,var_prefactor,target_value,N_y,N_z,J,K
0,100,2.5746097716101075,2.254488455950627,134.15878631215276,1.0,4,17999,8.070409204584046e-07,1684.0788264924704,2.0658205807130723,12.017226905469013,2.002698084643543,58,50
0,137,2.4284850443135353,2.254488455950627,134.15878631215276,1.0,4,17999,8.070409204584046e-07,1684.0788264924704,2.0658205807130723,12.017226905469013,2.002698084643543,58,50
0,188,1.5946886524108403,2.254488455950627,134.15878631215276,1.0,4,17999,8.070409204584046e-07,1684.0788264924704,2.0658205807130723,12.017226905469013,2.002698084643543,58,50
0,259,1.6604709307663272,2.254488455950627,134.15878631215276,1.0,4,17999,8.070409204584046e-07,1684.0788264924704,2.0658205807130723,12.017226905469013,2.002698084643543,58,50
0,356,1.6401935189980559,2.254488455950627,134.15878631215276,1.0,4,17999,8.070409204584046e-07,1684.0788264924704,2.0658205807130723,12.017226905469013,2.002698084643543,58,50
0,489,1.055850579141073,2.254488455950627,134.15878631215276,1.0,4,17999,8.070409204584046e-07,1684.0788264924704,2.0658205807130723,12.017226905469013,2.002698084643543,58,50
0,672,0.9763904155914518,2.254488455950627,134.15878631215276,1.0,4,17999,8.070409204584046e-07,1684.0788264924704,2.0658205807130723,12.017226905469013,2.002698084643543,58,50
0,923,1.14041658555003,2.254488455950627,134.15878631215276,1.0,4,17999,8.070409204584046e-07,1684.0788264924704,2.0658205807130723,12.017226905469013,2.002698084643543,58,50
0,1268,0.9270993670510415,2.254488455950627,134.15878631215276,1.0,4,17999,8.070409204584046e-07,1684.0788264924704,2.0658205807130723,12.017226905469013,2.002698084643543,58,50
0,1743,0.8194290030380007,2.254488455950627,134.15878631215276,1.0,4,17999,8.070409204584046e-07,1684.0788264924704,2.0658205807130723,12.017226905469013,2.002698084643543,58,50
0,2395,0.7843462371790867,2.254488455950627,134.15878631215276,1.0,4,17999,8.070409204584046e-07,1684.0788264924704,2.0658205807130723,12.017226905469013,2.002698084643543,58,50
0,3290,0.637860749042221,2.254488455950627,134.15878631215276,1.0,4,17999,8.070409204584046e-07,1684.0788264924704,2.0658205807130723,12.017226905469013,2.002698084643543,58,50
0,4520,0.45680346660698345,2.254488455950627,134.15878631215276,1.0,4,17999,8.070409204584046e-07,1684.0788264924704,2.0658205807130723,12.017226905469013,2.002698084643543,58,50
0,6210,0.3565974676335251,2.254488455950627,134.15878631215276,1.0,4,17999,8.070409204584046e-07,1684.0788264924704,2.0658205807130723,12.017226905469013,2.002698084643543,58,50
0,8531,0.31613108538527085,2.254488455950627,134.15878631215276,1.0,4,17999,8.070409204584046e-07,1684.0788264924704,2.0658205807130723,12.017226905469013,2.002698084643543,58,50
0,11721,0.2814809663514226,2.254488455950627,134.15878631215276,1.0,4,17999,8.070409204584046e-07,1684.0788264924704,2.0658205807130723,12.017226905469013,2.002698084643543,58,50
