instance,N_S,rmse,lambda,f_norm,t_max,B_PF_bound,B_PF_actual,var_prefactor,target_value,r_at_tmax,N_y,N_z,J,K,expected_estimator_real
0,100,30.09456844796753,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,161,32.355313374697054,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,259,28.3524361269244,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,417,21.753990502592877,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,672,15.286181834045093,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,1082,12.32330011782973,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,1743,9.601062014244228,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,2807,8.917288160247782,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,4520,7.373399552102963,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,7278,5.144482460591036,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,11721,4.616912538674087,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,18873,3.1564694811089056,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,30391,2.298718757704587,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,48939,1.8125153568014547,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,78804,1.5235141877485108,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,126896,1.0720446684403435,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,204335,1.1026861383766495,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,329034,0.8263221119833392,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,529831,0.6774843433248467,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,853167,0.5853111425283017,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,1373823,0.39394806564210777,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,2212216,0.3130788553283966,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,3562247,0.2085830816792258,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,5736152,0.22218638986379285,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,9236708,0.19427498977031088,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,14873521,0.14519239369679138,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,23950266,0.11828486270751032,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,38566204,0.09284393578343453,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,62101694,0.07306519651771176,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
0,100000000,0.04949473990732225,2.6423641610489064,0.02385359363252495,7178.358402846898,0.0009999999673143193,7.189912734872905e-05,345891.5929283963,44.82239899899442,60574819,549.4383509498339,1.9999940592326266,1860,2293,44.822327099867074
1,100,44.69895553097214,2.2278050190268717,0.025178889379360123,5976.111272444375,0.0009999999717778044,3.596421960594398e-05,341545.2150921973,20.577754301869653,47124945,460.3180369309317,1.9999921472342599,1553,1911,20.577718337650047
1,161,36.09711732814345,2.2278050190268717,0.025178889379360123,5976.111272444375,0.0009999999717778044,3.596421960594398e-05,341545.2150921973,20.577754301869653,47124945,460.3180369309317,1.9999921472342599,1553,1911,20.577718337650047
1,259,28.758818344883984,2.2278050190268717,0.025178889379360123,5976.111272444375,0.0009999999717778044,3.596421960594398e-05,341545.2150921973,20.577754301869653,47124945,460.3180369309317,1.9999921472342599,1553,1911,20.577718337650047
1,417,21.042696585655612,2.2278050190268717,0.025178889379360123,5976.111272444375,0.0009999999717778044,3.596421960594398e-05,341545.2150921973,20.577754301869653,47124945,460.3180369309317,1.9999921472342599,1553,1911,20.577718337650047
1,672,16.66076669582716,2.2278050190268717,0.025178889379360123,5976.111272444375,0.0009999999717778044,3.596421960594398e-05,341545.2150921973,20.577754301869653,47124945,460.3180369309317,1.9999921472342599,1553,1911,20.577718337650047
1,1082,15.134146559503739,2.2278050190268717,0.025178889379360123,5976.111272444375,0.0009999999717778044,3.596421960594398e-05,341545.2150921973,20.577754301869653,47124945,460.3180369309317,1.9999921472342599,1553,1911,20.577718337650047
